min_train_loss=0.858, at batch_size=128, rnn_size=200, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.660, at batch_size=128, rnn_size=200, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.440, at batch_size=128, rnn_size=200, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.188, at batch_size=128, rnn_size=200, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.827, at batch_size=128, rnn_size=200, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.638, at batch_size=128, rnn_size=200, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.381, at batch_size=128, rnn_size=200, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.184, at batch_size=128, rnn_size=200, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.809, at batch_size=128, rnn_size=200, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.605, at batch_size=128, rnn_size=200, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.425, at batch_size=128, rnn_size=200, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.185, at batch_size=128, rnn_size=200, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.828, at batch_size=128, rnn_size=300, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.664, at batch_size=128, rnn_size=300, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.453, at batch_size=128, rnn_size=300, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.188, at batch_size=128, rnn_size=300, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.757, at batch_size=128, rnn_size=300, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.571, at batch_size=128, rnn_size=300, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.288, at batch_size=128, rnn_size=300, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.185, at batch_size=128, rnn_size=300, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.692, at batch_size=128, rnn_size=300, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.539, at batch_size=128, rnn_size=300, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.247, at batch_size=128, rnn_size=300, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.185, at batch_size=128, rnn_size=300, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.851, at batch_size=128, rnn_size=400, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.586, at batch_size=128, rnn_size=400, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.395, at batch_size=128, rnn_size=400, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.188, at batch_size=128, rnn_size=400, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.703, at batch_size=128, rnn_size=400, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.576, at batch_size=128, rnn_size=400, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.206, at batch_size=128, rnn_size=400, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.184, at batch_size=128, rnn_size=400, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.640, at batch_size=128, rnn_size=400, embed_dim=300, keep_prob=0.7, num_layers=1
